GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
E2E Tests Coverage Report,com.pkb.app.bean,EHRBean,1143,4220,144,322,205,835,151,260,30,141
E2E Tests Coverage Report,com.pkb.app.bean,EHRLocalCryptoBean,172,812,10,20,17,149,17,44,8,38
E2E Tests Coverage Report,com.pkb.app.bean,EHRBean.Pair,10,58,7,5,2,14,6,7,0,7
E2E Tests Coverage Report,com.pkb.fhir.common.entity,SourceEhrDataEntity,80,0,0,0,34,0,23,0,23,0
E2E Tests Coverage Report,com.pkb.service.support,PubSubUtil,11,23,1,1,1,2,2,1,1,1
E2E Tests Coverage Report,com.pkb.service.support,SupportTaskInboundRequestRouteBuilder,2,102,0,0,1,27,1,5,1,5
E2E Tests Coverage Report,com.pkb.service.support,EmailDeletionOutboundRouteBuilder,2,42,0,0,1,13,1,3,1,3
E2E Tests Coverage Report,com.pkb.service.support,MessageDeletionOutboundRouterBuilder,2,42,0,0,1,13,1,3,1,3
E2E Tests Coverage Report,com.pkb.service.support,DataCollectionService.FindPatientError,0,12,0,0,0,4,0,1,0,1
E2E Tests Coverage Report,com.pkb.service.support,PhoenixPubSubConfig,0,12,0,0,0,2,0,2,0,2
E2E Tests Coverage Report,com.pkb.service.support,EmailDeletionService,10,79,0,0,5,17,0,3,0,3
E2E Tests Coverage Report,com.pkb.service.support,DataCollectionService,43,746,1,23,1,127,16,52,15,41
E2E Tests Coverage Report,com.pkb.service.support,MessageDeletionService,12,77,0,2,6,20,0,6,0,5
E2E Tests Coverage Report,com.pkb.service.support,SupportToolTwoFARemovalService,11,159,0,2,0,34,2,7,2,6
E2E Tests Coverage Report,com.pkb.service.support,TwoFARemovalOutboundRouteBuilder,2,42,0,0,1,13,1,3,1,3
E2E Tests Coverage Report,com.pkb.service.support,DataCollectionOutboundRouteBuilder,2,42,0,0,1,13,1,3,1,3
E2E Tests Coverage Report,com.pkb.questionnaireservice.repositories,JpaKotlinRepositoryFactoryBean,23,82,3,3,2,15,5,10,2,10
E2E Tests Coverage Report,com.pkb.questionnaireservice.repositories,JpaKotlinRepositoryFactory,0,38,0,2,0,5,0,3,0,2
E2E Tests Coverage Report,com.pkb.questionnaireservice.repositories,JpaKPersistableEntityInformation,6,17,0,0,1,2,1,2,1,2
E2E Tests Coverage Report,com.pkb.fhir.analysis.validate,EhrDataValidator,57,11,2,0,16,4,2,2,1,2
E2E Tests Coverage Report,com.pkb.emis.appointment.config,EmisHttpComponentsClientHttpRequestFactory,0,21,0,2,0,6,0,3,0,2
E2E Tests Coverage Report,com.pkb.emis.appointment.config,EmisHttpComponentsClientHttpRequestFactory.new HttpEntityEnclosingRequestBase() {...},0,9,0,0,0,2,0,2,0,2
E2E Tests Coverage Report,com.pkb.emis.appointment.config,EmisAppointmentConfig,33,119,2,2,4,30,2,9,0,9
E2E Tests Coverage Report,com.pkb.entities.messaging,Attachment,21,3,0,0,9,1,6,1,6,1
E2E Tests Coverage Report,com.pkb.entities.messaging,TeamGroupMembership,63,3,0,0,27,1,18,1,18,1
E2E Tests Coverage Report,com.pkb.entities.messaging,Conversation,84,3,0,0,36,1,24,1,24,1
E2E Tests Coverage Report,com.pkb.entities.messaging,Group,63,3,0,0,27,1,18,1,18,1
E2E Tests Coverage Report,com.pkb.entities.messaging,ReadReceipt,70,3,0,0,30,1,20,1,20,1
E2E Tests Coverage Report,com.pkb.entities.messaging,PersonGroupMembership,63,3,0,0,27,1,18,1,18,1
E2E Tests Coverage Report,com.pkb.entities.messaging,Message,147,3,0,0,63,1,42,1,42,1
E2E Tests Coverage Report,com.pkb.entities.messaging,StructuredBody,42,3,0,0,18,1,12,1,12,1
E2E Tests Coverage Report,com.pkb.entities.messaging,ConversationParticipant,91,3,0,0,39,1,26,1,26,1
E2E Tests Coverage Report,com.pkb.domain.duplicate,PatientDemographicsService,0,67,0,2,0,15,0,4,0,3
E2E Tests Coverage Report,com.pkb.domain.duplicate,TeamDomainService,0,91,0,2,0,18,0,9,0,8
E2E Tests Coverage Report,com.pkb.tolven.entity,UserCredential,154,0,26,0,35,0,29,0,16,0
E2E Tests Coverage Report,com.pkb.action.diary,UIAppointmentCarerDto,0,2,0,0,0,1,0,1,0,1
E2E Tests Coverage Report,com.pkb.action.diary,ViewAppointmentAction,1,68,1,5,0,19,1,10,0,8
E2E Tests Coverage Report,com.pkb.action.diary,AppointmentsService.Partitioner,0,32,0,0,0,6,0,4,0,4
E2E Tests Coverage Report,com.pkb.action.diary,ComposeAppointmentRequestAction,7,151,0,6,3,45,2,16,2,13
E2E Tests Coverage Report,com.pkb.action.diary,NhsAppointmentMenuAction,7,41,0,0,3,16,2,7,2,7
E2E Tests Coverage Report,com.pkb.action.diary,EditAppointmentPrivacyAction,0,120,0,6,0,37,0,13,0,10
E2E Tests Coverage Report,com.pkb.action.diary,BookAppointmentAction,18,464,4,26,4,107,6,53,2,42
E2E Tests Coverage Report,com.pkb.action.diary,SaveAppointmentAction,3,156,2,10,1,47,2,17,0,13
E2E Tests Coverage Report,com.pkb.action.diary,ListAppointmentsAction,1,82,1,1,0,24,1,13,0,13
E2E Tests Coverage Report,com.pkb.action.diary,DeleteAppointmentAction,46,300,15,25,7,66,13,30,1,22
E2E Tests Coverage Report,com.pkb.action.diary,AppointmentsService.AppointmentRequestType,0,24,0,0,0,3,0,1,0,1
E2E Tests Coverage Report,com.pkb.action.diary,UIAppointmentDto,9,63,0,0,4,27,2,17,2,17
E2E Tests Coverage Report,com.pkb.action.diary,BaseAppointmentAction,0,3,0,0,0,1,0,1,0,1
E2E Tests Coverage Report,com.pkb.action.diary,UIAppointmentViewDto,0,116,0,0,0,50,0,32,0,32
E2E Tests Coverage Report,com.pkb.action.diary,ConfirmAppointmentRequestAction,4,56,0,0,2,17,1,4,1,4
E2E Tests Coverage Report,com.pkb.action.diary,AppointmentsService,178,4160,18,153,28,744,27,212,9,143
E2E Tests Coverage Report,com.pkb.action.diary,DiaryEntryAction,207,816,10,22,74,179,41,60,31,54
E2E Tests Coverage Report,com.pkb.action.diary,ViewEmisAppointmentAction,2,46,0,0,1,16,1,8,1,8
E2E Tests Coverage Report,com.pkb.action.diary,UIAppointmentDetailsDto,0,74,0,0,0,29,0,18,0,18
E2E Tests Coverage Report,com.pkb.action.diary,UIIntroduceAppointmentRequestDto,0,24,0,0,0,10,0,7,0,7
E2E Tests Coverage Report,com.pkb.action.diary,UIPrivacyDto,8,32,0,0,4,14,2,7,2,7
E2E Tests Coverage Report,com.pkb.action.diary,UIBaseAppointmentRequestDto,0,26,0,4,0,6,0,7,0,5
E2E Tests Coverage Report,com.pkb.action.diary,AppointmentUtility,3,40,0,2,1,11,1,5,1,4
E2E Tests Coverage Report,com.pkb.action.diary,IntroduceAppointmentRequestAction,4,36,0,0,2,11,1,3,1,3
E2E Tests Coverage Report,com.pkb.action.diary,AppointmentManagementRedirectAction,0,40,0,0,0,10,0,4,0,4
E2E Tests Coverage Report,com.pkb.action.diary,BaseAppointmentDto,0,150,0,0,0,59,0,32,0,32
